DateTime,Started_Number,Queued_Number,ExecutingNodeName
2023-03-16 09:02:00,10,30,sypqliksense07
2023-03-16 09:02:00,10,19,sypqliksense05
2023-03-16 09:02:00,10,24,sypqliksense17
2023-03-16 09:02:00,10,22,sypqliksense06
2023-03-16 09:02:00,10,28,sypqliksense08
2023-03-16 09:17:00,10,22,sypqliksense07
2023-03-16 09:17:00,10,15,sypqliksense05
2023-03-16 09:17:00,10,16,sypqliksense17
2023-03-16 09:17:00,10,12,sypqliksense06
2023-03-16 09:17:00,10,21,sypqliksense08
2023-03-16 09:32:00,10,24,sypqliksense07
2023-03-16 09:32:00,10,18,sypqliksense05
2023-03-16 09:32:00,10,22,sypqliksense17
2023-03-16 09:32:00,10,19,sypqliksense06
2023-03-16 09:32:00,10,22,sypqliksense08
2023-03-16 09:47:00,10,21,sypqliksense07
2023-03-16 09:47:00,10,14,sypqliksense05
2023-03-16 09:47:00,10,18,sypqliksense17
2023-03-16 09:47:00,10,14,sypqliksense06
2023-03-16 09:47:00,10,19,sypqliksense08
2023-03-16 10:02:00,10,47,sypqliksense07
2023-03-16 10:02:00,10,39,sypqliksense05
2023-03-16 10:02:00,10,45,sypqliksense17
2023-03-16 10:02:00,10,40,sypqliksense06
2023-03-16 10:02:00,10,44,sypqliksense08
2023-03-16 10:17:00,10,36,sypqliksense07
2023-03-16 10:17:00,10,28,sypqliksense05
2023-03-16 10:17:00,10,36,sypqliksense17
2023-03-16 10:17:00,10,29,sypqliksense06
2023-03-16 10:17:00,10,35,sypqliksense08
2023-03-16 10:32:00,10,34,sypqliksense07
2023-03-16 10:32:00,10,25,sypqliksense05
2023-03-16 10:32:00,10,32,sypqliksense17
2023-03-16 10:32:00,10,24,sypqliksense06
2023-03-16 10:32:00,10,30,sypqliksense08
2023-03-16 10:47:00,10,22,sypqliksense07
2023-03-16 10:47:00,10,13,sypqliksense05
2023-03-16 10:47:00,10,24,sypqliksense17
2023-03-16 10:47:00,10,13,sypqliksense06
2023-03-16 10:47:00,10,17,sypqliksense08
2023-03-16 11:02:00,10,30,sypqliksense07
2023-03-16 11:02:00,10,23,sypqliksense05
2023-03-16 11:02:00,10,26,sypqliksense17
2023-03-16 11:02:00,10,20,sypqliksense06
2023-03-16 11:02:00,10,26,sypqliksense08
2023-03-16 11:17:00,10,26,sypqliksense07
2023-03-16 11:17:00,10,19,sypqliksense05
2023-03-16 11:17:00,10,26,sypqliksense17
2023-03-16 11:17:00,10,21,sypqliksense06
2023-03-16 11:17:00,10,22,sypqliksense08
2023-03-16 11:32:00,10,24,sypqliksense07
2023-03-16 11:32:00,10,16,sypqliksense05
2023-03-16 11:32:00,10,24,sypqliksense17
2023-03-16 11:32:00,10,17,sypqliksense06
2023-03-16 11:32:00,10,20,sypqliksense08
2023-03-16 11:47:00,10,15,sypqliksense07
2023-03-16 11:47:00,10,11,sypqliksense05
2023-03-16 11:47:00,10,16,sypqliksense17
2023-03-16 11:47:00,10,11,sypqliksense06
2023-03-16 11:47:00,10,8,sypqliksense08
2023-03-16 12:02:00,10,29,sypqliksense07
2023-03-16 12:02:00,10,25,sypqliksense05
2023-03-16 12:02:00,10,31,sypqliksense17
2023-03-16 12:02:00,10,25,sypqliksense06
2023-03-16 12:02:00,10,26,sypqliksense08
2023-03-16 12:17:00,10,22,sypqliksense07
2023-03-16 12:17:00,10,21,sypqliksense05
2023-03-16 12:17:00,10,22,sypqliksense17
2023-03-16 12:17:00,10,20,sypqliksense06
2023-03-16 12:17:00,10,17,sypqliksense08
2023-03-16 12:32:00,10,15,sypqliksense07
2023-03-16 12:32:00,10,7,sypqliksense05
2023-03-16 12:32:00,10,16,sypqliksense17
2023-03-16 12:32:00,10,10,sypqliksense06
2023-03-16 12:32:00,10,10,sypqliksense08
2023-03-16 12:47:00,10,12,sypqliksense07
2023-03-16 12:47:00,10,5,sypqliksense05
2023-03-16 12:47:00,10,11,sypqliksense17
2023-03-16 12:47:00,10,6,sypqliksense06
2023-03-16 12:47:00,10,9,sypqliksense08
2023-03-16 13:02:00,10,17,sypqliksense07
2023-03-16 13:02:00,10,10,sypqliksense05
2023-03-16 13:02:00,10,11,sypqliksense17
2023-03-16 13:02:00,10,14,sypqliksense06
2023-03-16 13:02:00,10,14,sypqliksense08
2023-03-16 13:17:00,10,5,sypqliksense07
2023-03-16 13:17:00,7,0,sypqliksense05
2023-03-16 13:17:00,10,2,sypqliksense17
2023-03-16 13:17:00,10,1,sypqliksense06
2023-03-16 13:17:00,10,5,sypqliksense08
2023-03-16 13:32:00,10,3,sypqliksense07
2023-03-16 13:32:00,7,0,sypqliksense05
2023-03-16 13:32:00,10,3,sypqliksense17
2023-03-16 13:32:00,10,2,sypqliksense06
2023-03-16 13:32:00,10,1,sypqliksense08
2023-03-16 13:47:00,8,0,sypqliksense07
2023-03-16 13:47:00,7,0,sypqliksense05
2023-03-16 13:47:00,8,0,sypqliksense17
2023-03-16 13:47:00,7,0,sypqliksense06
2023-03-16 13:47:00,8,1,sypqliksense08
2023-03-16 14:02:00,10,15,sypqliksense07
2023-03-16 14:02:00,10,10,sypqliksense05
2023-03-16 14:02:00,10,15,sypqliksense17
2023-03-16 14:02:00,10,13,sypqliksense06
2023-03-16 14:02:00,10,14,sypqliksense08
2023-03-16 14:17:00,10,8,sypqliksense07
2023-03-16 14:17:00,9,0,sypqliksense05
2023-03-16 14:17:00,10,10,sypqliksense17
2023-03-16 14:17:00,10,4,sypqliksense06
2023-03-16 14:17:00,10,7,sypqliksense08
2023-03-16 14:32:00,10,7,sypqliksense07
2023-03-16 14:32:00,9,0,sypqliksense05
2023-03-16 14:32:00,10,8,sypqliksense17
2023-03-16 14:32:00,10,6,sypqliksense06
2023-03-16 14:32:00,10,6,sypqliksense08
2023-03-16 14:47:00,10,4,sypqliksense07
2023-03-16 14:47:00,9,0,sypqliksense05
2023-03-16 14:47:00,10,8,sypqliksense17
2023-03-16 14:47:00,10,4,sypqliksense06
2023-03-16 14:47:00,10,4,sypqliksense08
2023-03-16 15:02:00,10,12,sypqliksense07
2023-03-16 15:02:00,10,5,sypqliksense05
2023-03-16 15:02:00,10,14,sypqliksense17
2023-03-16 15:02:00,10,13,sypqliksense06
2023-03-16 15:02:00,10,12,sypqliksense08
2023-03-16 15:17:00,10,7,sypqliksense07
2023-03-16 15:17:00,8,0,sypqliksense05
2023-03-16 15:17:00,10,4,sypqliksense17
2023-03-16 15:17:00,10,3,sypqliksense06
2023-03-16 15:17:00,10,7,sypqliksense08
2023-03-16 15:32:00,10,7,sypqliksense07
2023-03-16 15:32:00,8,0,sypqliksense05
2023-03-16 15:32:00,10,9,sypqliksense17
2023-03-16 15:32:00,10,4,sypqliksense06
2023-03-16 15:32:00,10,7,sypqliksense08
2023-03-16 15:47:00,10,2,sypqliksense07
2023-03-16 15:47:00,6,0,sypqliksense05
2023-03-16 15:47:00,10,6,sypqliksense17
2023-03-16 15:47:00,10,2,sypqliksense06
2023-03-16 15:47:00,10,4,sypqliksense08
2023-03-16 16:02:00,10,19,sypqliksense07
2023-03-16 16:02:00,10,12,sypqliksense05
2023-03-16 16:02:00,10,19,sypqliksense17
2023-03-16 16:02:00,10,19,sypqliksense06
2023-03-16 16:02:00,10,19,sypqliksense08
2023-03-16 16:17:00,10,15,sypqliksense07
2023-03-16 16:17:00,10,2,sypqliksense05
2023-03-16 16:17:00,10,14,sypqliksense17
2023-03-16 16:17:00,10,13,sypqliksense06
2023-03-16 16:17:00,10,11,sypqliksense08
2023-03-16 16:32:00,10,9,sypqliksense07
2023-03-16 16:32:00,10,1,sypqliksense05
2023-03-16 16:32:00,10,6,sypqliksense17
2023-03-16 16:32:00,10,7,sypqliksense06
2023-03-16 16:32:00,10,10,sypqliksense08
2023-03-16 16:47:00,10,1,sypqliksense07
2023-03-16 16:47:00,5,0,sypqliksense05
2023-03-16 16:47:00,10,2,sypqliksense17
2023-03-16 16:47:00,10,2,sypqliksense06
2023-03-16 16:47:00,10,6,sypqliksense08
2023-03-16 17:02:00,10,20,sypqliksense07
